person id,score
f8f3520a_b82c870e,3
76effdcf_a75d185e,-1
8eba60cc_aef7e817,2
f19ccaa_dc6b0bd4,2
94822e69_293e41c7,-2
1d02084b_6e040d78,-2
d5311670_6556dc9f,2
1d64c118_b7188846,2
90d6428_f21b80eb,4
f1506564_b9246857,-2
beed83c9_99863551,3
fe38f844_82ebad3a,1
21fc5e24_72210188,-2
fd3943f8_688f2aab,-2
4ed17253_73985cda,2
b2021d5b_a560ff3e,-2
f6d446e2_577cf55c,-1
efb6384e_ca0ad266,3
d79572d9_b08b665a,2
3de6d8a0_74036ad3,-1
339b8be1_48331e7b,-3
8898dae3_de9a27f2,2
326fced_b2cbc85,2
8260e1c3_f518feae,-2
bce5652a_ff34e5c1,-2
8f38865_6fb5a5f5,-2
f43eead4_6aa25568,-1
8b28e2cf_2b895a86,-1
730be205_a20702f5,-2
df27e54e_36b320b6,-3
dfdb7cbc_6b071938,-1
e93ea228_385d03c5,-2
8fd3a344_70daee4f,1
932297d0_234262e4,-2
cf9daab0_2cc06021,3
c6d6d592_7d67d9b2,-2
732a3b69_ad2f94c2,1
478ad1a_a9fabeed,2
6b883f65_1e130f1c,-1
e67f4b05_14a99ec4,4
16af4fac_550683a8,-2
307c710a_b3835244,-2
8556c8f8_e8e2ea98,-2
9b040e12_a580b407,2
758b8c3c_d2b14ae6,2
2baef089_8be259f9,1
f96fddc9_cd2a0f9a,2
8d304245_4ed12c66,-2
877ae405_45057a5c,-2
a5dadb2a_8ec274c9,2
208f1a11_31ac191c,2
91433dcb_a4572da0,-2
bb35610a_b27dbd2d,-1
60fba891_9559cff6,-1
806c65a8_3d378e0d,3
6f13d69c_8b327e28,-1
3b38c93d_3376776,-2
eb84cdcf_74a3af95,-2
f533deef_13f91d3,-2
9a5d7197_2f53f370,2
ce3f2e7d_a4c641e4,-2
d6588df6_14d9f4f1,-2
ee1cd543_ab94e0cf,-2
f04befa2_2d47a5b3,3
556ba434_c0ca2371,-2
51e47beb_18eabf4a,-3
6cf84f5d_4c0afa23,-2
fc241e87_968ac2d0,-2
8a58089f_6b41fe5e,-2
d3947341_8a2c68b7,-1
d835c243_83f3d6ad,-1
894c19a2_d1c5907e,2
ded67a49_550f38f5,2
7d6a18fc_aa6a3458,-2
18268661_26928c7d,-2
7a9a53c8_fa9b78f1,-2
726e8316_87757b02,3
9965da3a_4c8134ba,2
fa9af872_28562702,2
31b90a6d_2be038ed,-2
3fb08ecf_ab41056,-2
c4699676_7e8e7da8,-2
a100df7f_6dbfd858,2
a8d97f96_e77c04e1,-3
2f88e37e_fe93863a,-2
73c365a7_297228f,-2
525af74c_b16f10a7,1
45c36aca_32f4eb24,2
14685384_662265c,1
f706c1d0_f424f3dc,-2
8bd87de5_ab032652,1
b4088f7a_3a4a268f,2
7c28162a_535833,2
50819ee5_1c4fecf7,2
59449cbc_550255bc,2
e7a46602_86841935,-2
f843b2bd_2241fbb2,-2
fee596bf_7e25cf09,-2
21aa4456_275ccfc9,-1
108d81b2_7115077,1
cb9f8569_ad6c0ed7,2
5ac809bb_ed531a17,-2
dcc94950_56215751,-2
b0a6bf7d_3d060af5,4
d71cdd6d_e8514579,1
3bff01bd_ccb7dc3a,-2
8bad62b4_5daae6dc,-3
c6522374_3bd162ad,-2
8892266a_8bbdf524,-2
161b38f3_9c487a6b,2
b29a809b_4ed1f1d8,-1
d976d6e3_34d0622a,1
3f36e0ed_f034ce24,-2
4d644f88_2f877277,2
47cee552_c730f259,2
65f99e6f_4324fd83,2
ddfd0fb0_23d82baf,-2
75626982_3a74540e,-2
c0b141a5_436c0f1c,-1
f949d60f_b9b93b4,-2
b5b7361d_cf586ea0,-3
f91ef529_8a29f33d,4
ca625e25_88f7e185,-1
2e6f58f0_8e3905fc,2
ae0a49b4_b461eaa1,-2
d6dbbf06_cb872ef5,2
1ff661af_49d8d4be,2
9fd0dea3_af07e37f,-2
8c802643_ef30b31d,-1
c11d7dd1_e4bdf6a,1
e5319212_d913bb25,3
2217aa2d_225d604e,-1
be037eab_7eb2af0c,-2
16e0952b_76037226,2
819715c6_2dd83994,2
d57db2ef_6d75102a,3
cbbe1935_f9e98718,1
53aa5a86_21b3f221,-3
d17def76_cfae2d2a,-2
eaf32497_d0a9f60,-2
9a33ce1b_c51f5d7a,2
e5b1f106_5c6e1222,1
ea9a0fb9_55cef8d4,-3
5c455afe_f3063f36,-4
4827de2c_b18b650d,-2
ee78b4ab_aeef27fb,-1
22c9247e_d95be9df,-2
494e7502_ab4ac0e9,2
f3ee31e0_685cc435,-2
376bae6f_314cbe19,3
be8f7a2_f462048b,2
e688a568_5bf92ca4,-3
4f94ac8a_4c591a6f,-2
cae09fd2_92a4ff90,-4
ecb2165e_56c2eefa,-2
e5ff5c81_e57b8ac2,-2
f6471f30_ee5a9959,-2
272910e1_6edc6a36,2
4a4860b2_60fa191a,-3
103e94e7_83ade712,-2
6dd57543_f598f862,-2
40e49402_2d027a1,-3
2e655a24_f16c0647,2
272a5874_1954075e,2
27c59d1a_e7252e76,-3
2d28303f_dc2fd3f8,-2
6ef90ad9_8bda5830,-2
62bfcab3_1a1f463,1
c78d041a_62bdfdb8,-2
2df8175b_fb1de34a,1
5fe926d8_5af6d5bd,-3
9c83d529_ab519166,1
8aa15488_e698d741,2
512f5152_df91f9f6,2
2d1177b9_6329b39f,-1
860b4e71_e50673ec,-2
750f43f_998e6700,4
6ff7fa45_c2633d1,-2
d8b791b6_5401ec33,-3
47ce5315_279cb564,2
52f426ca_6968e0dd,-3
5f3d1d37_f32863b2,-2
aaf0dc33_5377b4f9,1
d28609b1_c0784825,-2
225c93c4_997c6fbf,-2
fa39ecac_12f23965,-2
ed254924_b5df2b27,-2
d1cc5438_28b2c66f,2
46e3a4ab_d4edbfb6,1
e4611418_85791690,-2
fd6b06fe_5cfa9b5a,3
9659d57_d318b45a,2
b70d9bf2_6e75eef8,-2
2c6c1d80_18ac72,-2
57a75b35_b123cfb8,2
ee75c9de_80a9ad4c,-2
b0fa6411_7cbbb78d,-1
d387bc1c_568ccd2d,-4
286898b8_620646ee,-3
612e3f7a_3ce2519d,2
4994d25f_fb1355ee,4
4d7a9daf_974f3dcf,-2
22f47afd_82c2200a,2
a51647a7_600d4360,-2
560ff44e_591fb88d,1
5cd4deab_eedd7c42,2
ef2c5eac_32d17cc1,4
28320a49_5fcfcbb,-3
78b34e7b_3a0897be,-2
83439a47_86b6a86d,1
b6156075_219901ae,-2
59e9bf72_cb06d27c,-2
2aeea9f2_8d4041f5,-1
bd8775c4_500ce841,-2
e86c52c_ac87e707,2
2b2d6674_518064b6,-3
254c2f8c_bef3796,-2
a06ecae_e46b4575,2
84078d7e_45b8a265,1
2bcd6830_b069958,-3
259fc218_bbba10a3,-2
e851e026_6ddf99b2,1
774a48d4_1991d728,-2
75b54e98_89330fec,-3
365f3577_805b0ba6,1
2948ed6e_eb231cf7,2
8bed5684_5cc648de,-2
9ea78192_f5f3ff74,-3
a04d96be_4bff4f94,-2
ce5f014_8c056377,-2
f9a4b81b_751f4e35,-2
878fb33d_63bf710e,-2
70fe27ab_811aad0,-2
6282e779_665b72a9,-1
ccc7fb73_c4a2a4d4,-1
6769da3b_c5d0719e,3
e47c5959_e2c119fb,-2
b741320d_282c316c,-1
9b6189e3_8826c95,2
494f9b30_e40ddc70,-2
73199c6c_bcbed259,-4
f5bbea5a_9e3fd2e0,2
c498dd0c_5a7abf77,1
87576df1_80a19203,3
86272b49_1e53876d,-2
304f073f_b1dfc7a,-3
21b5b337_b9956ed6,-2
aab4fcea_bfdba912,2
e1ffddcf_e29638f4,2
9e8ba377_e0accfb4,-2
f0bebaa1_5875b6e4,-2
9867e1b6_465e03a0,-2
fde74e12_d095633f,-2
60246711_c4377ed1,-2
3c5a935d_82722cb0,3
5a84de_ff37c82d,1
8cec8ac_34e0118e,-2
2206e633_2dcb9910,-2
af1213cc_2bd1616e,-2
73904ed7_bdd6c067,2
d8298634_caeaf7be,-2
ee155c8a_f751d6a8,-2
73670588_4485c22d,2
f6317989_47c26a06,-2
63b7d956_a91e6e93,2
80adefab_2ff4499c,1
fae87adc_ffc0b30d,3
9f86508f_6889d45c,2
3a827cab_264281a5,3
8d02379a_74e84d03,-3
23395c7d_3c1a55ab,-2
3204ae37_b7251b34,-2
7d4ad873_9c092286,2
e2548466_ed6ce1cd,-2
1cee6fb9_e19db6af,-2
c570945_45bf777b,-2
9965443_d37e20b0,2
c7338fcb_e07976c1,-2
ff3411e_935e5a58,-1
a10683ad_7939f564,-2
7ffd203b_81de0e52,2
a6b18bb_cdfabb0f,-1
b1dac531_43e0259f,2
53278979_ac17df93,-3
a7911fd7_9a6f686f,-2
c7723218_fc7149b5,2
